date,IVV,IEF
6/1/10,0.874323046,0.125676954
6/2/10,0.877747099,0.122252901
6/3/10,0.878265038,0.121734962
6/4/10,0.872875076,0.127124924
6/7/10,0.871065164,0.128934836
6/8/10,0.872472312,0.127527688
6/9/10,0.871895642,0.128104358
6/10/10,0.876216864,0.123783136
6/11/10,0.875964084,0.124035916
6/14/10,0.875948471,0.124051529
6/15/10,0.878647657,0.121352343
6/16/10,0.878340247,0.121659753
6/17/10,0.878027212,0.121972788
6/18/10,0.878339326,0.121660674
6/21/10,0.878095989,0.121904011
6/22/10,0.875696716,0.124303284
6/23/10,0.874416014,0.125583986
6/24/10,0.87274198,0.12725802
6/25/10,0.873007191,0.126992809
6/28/10,0.871818727,0.128181273
6/29/10,0.867814049,0.132185951
6/30/10,0.861727614,0.138272386
7/1/10,0.861801061,0.138198939
7/2/10,0.861306784,0.138693216
7/6/10,0.86177231,0.13822769
7/7/10,0.865789097,0.134210903
7/8/10,0.867182586,0.132817414
7/9/10,0.868314714,0.131685286
7/12/10,0.868237656,0.131762344
7/13/10,0.870527347,0.129472653
7/14/10,0.869925132,0.130074868
7/15/10,0.869402678,0.130597322
7/16/10,0.865511341,0.134488659
7/19/10,0.866527502,0.133472498
7/20/10,0.867631025,0.132368975
7/21/10,0.865431542,0.134568458
7/22/10,0.868561559,0.131438441
7/23/10,0.869898637,0.130101363
7/26/10,0.871148415,0.128851585
7/27/10,0.871486656,0.128513344
7/28/10,0.87026721,0.12973279
7/29/10,0.869479459,0.130520541
7/30/10,0.860844024,0.139155976
8/2/10,0.864109523,0.135890477
8/3/10,0.862982711,0.137017289
8/4/10,0.86431764,0.13568236
8/5/10,0.863619788,0.136380212
8/6/10,0.862346177,0.137653823
8/9/10,0.863009655,0.136990345
8/10/10,0.861812916,0.138187084
8/11/10,0.857753059,0.142246941
8/12/10,0.857283324,0.142716676
8/13/10,0.856407532,0.143592468
8/16/10,0.855484036,0.144515964
8/17/10,0.85758023,0.14241977
8/18/10,0.857915077,0.142084923
8/19/10,0.855274043,0.144725957
8/20/10,0.855218305,0.144781695
8/23/10,0.854593677,0.145406323
8/24/10,0.851783514,0.148216486
8/25/10,0.85276756,0.14723244
8/26/10,0.851367672,0.148632328
8/27/10,0.85472486,0.14527514
8/30/10,0.851996733,0.148003267
8/31/10,0.844934912,0.155065088
9/1/10,0.849855009,0.150144991
9/2/10,0.851582072,0.148417928
9/3/10,0.853926283,0.146073717
9/7/10,0.851575553,0.148424447
9/8/10,0.852698689,0.147301311
9/9/10,0.854283635,0.145716365
9/10/10,0.855342691,0.144657309
9/13/10,0.856106571,0.143893429
9/14/10,0.855387873,0.144612127
9/15/10,0.85627533,0.14372467
9/16/10,0.856629431,0.143370569
9/17/10,0.856372803,0.143627197
9/20/10,0.857944514,0.142055486
9/21/10,0.856510663,0.143489337
9/22/10,0.855775706,0.144224294
9/23/10,0.854578821,0.145421179
9/24/10,0.8569309,0.1430691
9/27/10,0.855414185,0.144585815
9/28/10,0.855551856,0.144448144
9/29/10,0.855538984,0.144461016
9/30/10,0.863536556,0.136463444
10/1/10,0.864273069,0.135726931
10/4/10,0.862972622,0.137027378
10/5/10,0.865241158,0.134758842
10/6/10,0.864509688,0.135490312
10/7/10,0.864281529,0.135718471
10/8/10,0.864857223,0.135142777
10/11/10,0.864870261,0.135129739
10/12/10,0.865566778,0.134433222
10/13/10,0.866423509,0.133576491
10/14/10,0.86679213,0.13320787
10/15/10,0.867429252,0.132570748
10/18/10,0.867407967,0.132592033
10/19/10,0.865500762,0.134499238
10/20/10,0.866654923,0.133345077
10/21/10,0.867585363,0.132414637
10/22/10,0.867802143,0.132197857
10/25/10,0.868097105,0.131902895
10/26/10,0.86893774,0.13106226
10/27/10,0.869254833,0.130745167
