,CI,IP,CRP,STS,CP,HS,LOAN,DL,NONS,NAPM,UR,MOM
1994-12-01,-0.06299201596806231,0.010151652859269111,0.6399999999999988,2.05,180.7578,1455.0,-10.2,0.1200000000000001,46186.0,282738.0,-0.09999999999999964,-0.2667581467401412
1995-01-01,-0.06299201596806231,0.001707122197765809,0.6199999999999992,1.88,176.0039,1407.0,-6.8,-0.18999999999999995,47317.0,279692.0,0.09999999999999964,0.6565909612746452
1995-02-01,-0.22758011928431754,-0.0014611530257462313,0.5899999999999999,1.53,177.1083,1316.0,-6.8,-0.18999999999999995,46200.0,284915.0,-0.1999999999999993,1.1152013429722984
1995-03-01,-0.4590749835418451,0.0015877967676094507,0.5800000000000001,1.29,179.0597,1249.0,-6.8,-0.18999999999999995,46095.0,282195.0,0.0,0.7325557516696009
1995-04-01,-0.4590749835418451,-0.001428846782371096,0.5700000000000003,1.22,183.6347,1267.0,-8.6,0.03000000000000025,46776.0,283370.0,0.39999999999999947,0.9699993526362718
1995-05-01,-0.05697109067008472,0.004624170733447341,0.5499999999999989,0.78,180.8068,1314.0,-8.6,0.03000000000000025,48401.0,282955.0,-0.20000000000000018,1.0391790992335252
1995-06-01,0.0,0.003246802971131002,0.6000000000000005,0.53,174.4889,1281.0,-8.6,0.03000000000000025,47970.0,281900.0,0.0,1.0135323784568087
1995-07-01,0.0,-0.0043798233915320894,0.629999999999999,0.69,177.3371,1461.0,-5.2,0.009999999999999787,45962.0,281269.0,0.10000000000000053,1.1729984977028565
1995-08-01,-0.30486206671030086,0.013161030970657572,0.6199999999999992,0.92,180.5308,1416.0,-5.2,0.009999999999999787,47502.0,285979.0,0.0,0.17337648142939344
1995-09-01,-1.2525493819127964,0.004164471158939254,0.6099999999999994,0.77,181.0815,1369.0,-5.2,0.009999999999999787,49431.0,293326.0,-0.10000000000000053,1.3184652162634833
1995-10-01,-1.2525493819127964,-0.0015714696735124045,0.6299999999999999,0.6,183.1156,1369.0,6.9,0.040000000000000036,50283.0,287568.0,-0.09999999999999964,0.3098546635020867
1995-11-01,-0.05224895833333326,0.00231768950096245,0.6600000000000001,0.41,187.9269,1452.0,6.9,0.040000000000000036,49798.0,287704.0,0.09999999999999964,0.8703107544870079
