,CI,IP,CRP,STS,CP,HS,LOAN,DL,NONS,NAPM,UR,MOM,BDC,EVUSD
1998-08-01,-0.049123991836083236,0.02059377962064257,0.6200000000000001,0.3,136.9596,1614.0,36.4,0.08999999999999986,57658.0,318026.0,0.0,-5.2463377254865975,-0.009696969696969648,-0.009294047854459198
1998-09-01,0.9562550131238386,-0.0008777177945977765,0.6899999999999995,0.07,153.7656,1582.0,36.4,0.08999999999999986,60257.0,319546.0,0.09999999999999964,-3.3495652335030712,0.1578947368421053,-0.04021956087824352
1998-10-01,0.0,0.00692114605080385,0.8099999999999996,0.46,148.4851,1715.0,7.4,-0.009999999999999787,56319.0,315959.0,-0.09999999999999964,0.9142918111958096,0.009513742071881603,-0.025891650202765848
1998-11-01,0.0,-0.0008551628439812387,0.9299999999999997,0.3,133.4806,1660.0,7.4,-0.009999999999999787,58162.0,319291.0,-0.09999999999999964,7.314094023271039,-0.014659685863874339,0.02690008539709643
1998-12-01,-0.5454172873475662,0.004272552884953651,1.0100000000000007,0.15,133.019,1792.0,7.4,-0.009999999999999787,60818.0,315467.0,0.0,3.028997074473992,-0.15621679064824656,-0.021101871101871117
1999-01-01,-0.5454172873475662,0.0041567457240880845,1.0499999999999998,0.27,135.2692,1748.0,10.0,-0.14000000000000012,57160.0,324278.0,-0.10000000000000053,3.9328574586713074,0.04156171284634769,0.020282467877243304
1999-02-01,1.4511604951739134,0.0057283254713744736,0.9899999999999993,0.44,130.8113,1670.0,10.0,-0.14000000000000012,58576.0,324617.0,0.10000000000000053,-0.21942901611328125,0.1656590084643288,0.027373022481265608
1999-03-01,1.3495272701072365,0.002093806155175848,0.9100000000000001,0.66,153.9354,1710.0,10.0,-0.14000000000000012,59657.0,322604.0,-0.20000000000000018,2.5385232048121935,-0.06431535269709543,0.01408165332793021
1999-04-01,0.0,0.0022755620524774756,0.8400000000000007,0.77,160.9771,1553.0,5.4,0.08999999999999986,58929.0,321414.0,0.09999999999999964,3.6639951149129075,0.20953436807095338,0.00899100899100902
1999-05-01,0.0,0.006093266267016562,0.79,0.91,152.2197,1611.0,5.4,0.08999999999999986,59814.0,325581.0,-0.09999999999999964,-0.1756243024553612,-0.09990834097158574,0.012673267326732685
1999-06-01,0.0,-0.0005728840151854042,0.7899999999999991,1.18,163.362,1559.0,5.4,0.08999999999999986,59045.0,323793.0,0.09999999999999964,-0.577938426624641,-0.012219959266802416,0.005572937035588588
1999-07-01,0.9469124426880191,0.005789557849406268,0.7599999999999998,1.1,169.1718,1669.0,9.1,-0.08000000000000007,62074.0,330548.0,0.0,3.87618163137725,0.03402061855670113,-0.030140982012639705
1999-08-01,0.9469124426880191,0.004467489774598876,0.75,1.07,181.6245,1648.0,9.1,-0.08000000000000007,61732.0,332510.0,-0.09999999999999964,-3.3542738249807655,0.03489531405782653,0.002005012531328454
1999-09-01,-0.6741867783695633,-0.004211305426653822,0.8099999999999996,1.1,191.063,1635.0,9.1,-0.08000000000000007,63231.0,333492.0,0.0,-0.5545647195923351,0.1974951830443159,-0.014107053526763336
1999-10-01,-0.7170611968368714,0.012977272701831799,0.830000000000001,1.09,181.3902,1608.0,10.9,0.0,61451.0,341407.0,-0.10000000000000053,-1.0983854021344968,0.08688656476267087,0.005277044854881119
1999-11-01,-1.0512,0.005222538025292822,0.79,0.8,189.6623,1648.0,10.9,0.0,61849.0,334281.0,0.0,6.04076203845797,0.0,0.02957803351504129
1999-12-01,0.9386758332603696,0.007864563293574545,0.6399999999999997,0.92,194.5372,1708.0,10.9,0.0,65451.0,344248.0,-0.09999999999999964,2.7015345354616898,-0.023686158401184265,-0.0011765859397979694
2000-01-01,0.9386758332603696,-0.0005922749028146601,0.5499999999999998,1.16,206.3651,1636.0,24.6,-0.029999999999999805,63975.0,350725.0,0.0,-0.21313951665705133,0.0,0.032001570629233145
2000-02-01,0.3357550048550087,0.0036725343542942657,0.6099999999999994,0.79,216.0089,1737.0,24.6,-0.029999999999999805,58497.0,331991.0,0.09999999999999964,-2.4406658172607507,0.16072782410917363,0.00751450584990021
2000-03-01,0.9421324502409341,0.0037971958165603503,0.6899999999999995,0.4,206.8815,1604.0,24.6,-0.029999999999999805,63642.0,344182.0,-0.09999999999999964,3.783096114448881,0.08425865447419989,-0.004531722054380682
2000-04-01,0.9421324502409341,0.006233222621593315,0.7600000000000007,0.17,203.2085,1626.0,33.9,0.10999999999999988,64414.0,347917.0,-0.20000000000000018,1.2664356013457336,-0.01927710843373498,0.0445751138088013
2000-05-01,3.4390521987896765,0.0029584269953233377,0.9100000000000001,0.45,223.2031,1575.0,33.9,0.10999999999999988,63753.0,340085.0,0.20000000000000018,-2.863502940492765,-0.03808353808353804,-0.012711094970038195
2000-06-01,-1.0607,0.0005882226658937562,0.8100000000000005,0.24,235.7137,1559.0,33.9,0.10999999999999988,68292.0,374700.0,0.0,3.1004666415127815,0.03192848020434225,-0.017472871068603957
2000-07-01,-1.0607,-0.0018966538220578366,0.6999999999999993,-0.09,213.3268,1463.0,43.9,0.20999999999999996,63581.0,343351.0,0.0,0.7653646295720904,0.016089108910890992,0.025926619243728855
2000-08-01,0.0,-0.002687016337059367,0.71,-0.45,244.3988,1541.0,43.9,0.20999999999999996,64759.0,340728.0,0.09999999999999964,0.9704981928286429,0.006090133982947554,0.02727853298056737
2000-09-01,-0.7290413820655862,0.003930380428925462,0.7299999999999995,-0.38,237.4833,1507.0,43.9,0.20999999999999996,66733.0,354557.0,-0.19999999999999973,-1.2199595575747395,0.052663438256658646,0.005772646536412074
2000-10-01,-0.7290413820655862,-0.003420117288768121,0.79,-0.55,236.7139,1549.0,59.6,0.040000000000000036,63580.0,339610.0,0.0,-5.030752494118431,0.011500862564692405,0.030022075055187614
2000-11-01,-2.059925625996324,3.662368410561889e-05,0.8299999999999992,-0.64,256.384,1551.0,59.6,0.040000000000000036,62569.0,343578.0,0.0,-0.9458827394427658,-0.049459920409323455,-0.012087441063009075
2000-12-01,-0.41633407935400985,-0.0032970879851786927,0.8099999999999996,-0.7,246.9237,1532.0,59.6,0.040000000000000036,62554.0,343858.0,0.0,-2.9785310109456304,-0.04366028708133973,-0.04928844151336331
2001-01-01,-0.41633407935400985,-0.005435875046199579,0.7799999999999994,-0.13,226.9736,1600.0,50.9,0.040000000000000036,60808.0,331600.0,0.30000000000000027,0.5616114843459314,-0.05941213258286426,0.008762322015334112
2001-02-01,-0.4780467401504168,-0.00676406926406925,0.7700000000000005,0.09,221.9866,1625.0,50.9,0.040000000000000036,60697.0,335205.0,0.0,-1.8765337568775493,0.021941489361702038,0.013481722765110504
2001-03-01,0.10003481379509971,-0.0025468258214005335,0.8599999999999994,0.35,212.7381,1590.0,50.9,0.040000000000000036,58146.0,333486.0,0.09999999999999964,-7.9355945495897515,-0.06441119063109957,0.04785287027943941
2001-04-01,0.10003481379509971,-0.0032728233914741667,0.8700000000000001,1.17,224.2305,1649.0,40.4,0.22999999999999998,54841.0,321890.0,0.10000000000000053,0.3360739968039894,0.014603616133518793,-0.013717304251512297
2001-05-01,-0.662588239621664,-0.005520667013656944,0.7800000000000002,1.69,217.6236,1605.0,40.4,0.22999999999999998,56599.0,329643.0,-0.10000000000000053,5.48332783092151,-0.04797806716929409,0.028593642017968213
2001-06-01,-1.0345,-0.005669709543568491,0.79,1.71,202.6644,1636.0,40.4,0.22999999999999998,55428.0,324044.0,0.20000000000000018,-2.041436496751132,-0.002159827213822907,0.0033593684387336342
2001-07-01,-1.0345,-0.00594017978558381,0.8399999999999999,1.65,201.72,1670.0,50.9,0.10999999999999988,53436.0,318401.0,0.09999999999999964,-2.225344340006501,-0.2431457431457431,-0.0191679919645098
2001-08-01,-1.7698348845520586,-0.0012168527955149777,0.8300000000000001,1.53,203.0028,1567.0,50.9,0.10999999999999988,54169.0,321838.0,0.3000000000000007,-1.6202399528298201,-0.11630123927550051,-0.032087386926096695
2001-09-01,-1.7698348845520586,-0.0052936501976572625,0.8599999999999994,2.04,181.7182,1562.0,50.9,0.10999999999999988,50735.0,311821.0,0.09999999999999964,-8.897100498365319,0.026968716289104577,-8.816787162757578e-05
2001-10-01,-0.5185117619901112,-0.0030682450719905496,0.8799999999999999,2.37,175.3805,1540.0,45.5,-0.06000000000000005,49736.0,318537.0,0.2999999999999998,2.1699478812839743,-0.09558823529411764,0.012785468653558008
2001-11-01,0.7287474275256446,-0.005791433786754507,0.8399999999999999,2.74,169.575,1602.0,45.5,-0.06000000000000005,51335.0,310008.0,0.20000000000000018,3.7677442341364156,0.008130081300812941,0.01105693888211734
2001-12-01,0.7287474275256446,-0.00034332578092399757,1.2800000000000011,3.37,169.1572,1568.0,45.5,-0.06000000000000005,51290.0,311731.0,0.20000000000000018,1.0832719348725846,0.009216589861751112,0.005338844398518949
2002-01-01,0.7287474275256446,0.006963264034280492,1.3200000000000003,3.36,166.0257,1698.0,25.0,-0.08999999999999986,47643.0,308617.0,0.0,-0.23928288051060065,0.0365296803652968,0.02963597430406839
2002-02-01,0.40554713086577066,-0.00010164300266979343,1.38,3.15,176.5311,1829.0,25.0,-0.08999999999999986,50422.0,317481.0,0.0,-2.605743236111522,0.1354625550660793,-0.008734714250062336
2002-03-01,-0.023092841242863524,0.007607057903998626,1.2999999999999998,3.45,201.2279,1642.0,25.0,-0.08999999999999986,47371.0,315160.0,0.0,3.6732594540244605,0.04946653734238593,-0.004531722054380571
2002-04-01,-1.0174,0.004811136008752603,1.2699999999999996,3.46,204.2329,1592.0,21.4,0.010000000000000231,49964.0,319110.0,0.20000000000000018,-2.7905347650701344,-0.0508317929759704,-0.02891586578991745
2002-05-01,0.9820882606477154,0.00433070910062483,1.3399999999999999,3.4,194.2879,1764.0,21.4,0.010000000000000231,50680.0,321471.0,-0.10000000000000053,-2.116526170210406,0.014605647517039966,-0.029342824897994557
2002-06-01,0.9820882606477154,0.008190866972278332,1.3200000000000003,3.2,202.7765,1717.0,21.4,0.010000000000000231,48847.0,316320.0,0.0,-4.291233132102263,-0.03550863723608444,-0.050979339951703784
2002-07-01,1.9801685128604303,-0.00022916448611509654,1.37,2.94,203.4048,1655.0,20.0,-0.03000000000000025,49531.0,320937.0,0.0,-7.571797908436174,-0.03681592039800996,0.012251437187823955
2002-08-01,-0.01725745870663159,-0.0012882437017666115,1.21,2.61,215.2304,1633.0,20.0,-0.03000000000000025,51112.0,326896.0,-0.09999999999999964,0.7811171791770306,0.07024793388429762,-0.004003351643236175
2002-09-01,-0.01725745870663159,0.001073633847824329,1.25,2.21,227.5257,1804.0,20.0,-0.03000000000000025,48089.0,319466.0,0.0,-2.9803540836681037,0.3194980694980696,-0.001028229575621653
2002-10-01,-1.0141,-0.002603497857790904,1.4100000000000001,2.33,217.423,1648.0,22.0,-0.10999999999999988,49106.0,320658.0,0.0,-0.694661339469576,0.03657644476956845,-0.0021521474688874775
2002-11-01,-1.372464810651879,0.00546371393302314,1.3100000000000005,2.8,217.5085,1753.0,22.0,-0.10999999999999988,49620.0,322463.0,0.20000000000000018,3.8033401572185994,0.10091743119266061,-0.002438109527381882
2002-12-01,-1.372464810651879,-0.005390059385177004,1.2400000000000002,2.82,235.1541,1788.0,22.0,-0.10999999999999988,48744.0,316933.0,0.09999999999999964,-0.6426747912452342,0.11410256410256414,-0.04258319232938523
2003-01-01,-1.372464810651879,0.008261512908890323,1.1799999999999997,2.86,253.4514,1853.0,8.9,-0.20000000000000018,48896.0,323882.0,-0.20000000000000018,-0.14310818626767485,-0.11967779056386652,-0.01904761904761898
2003-02-01,-1.372464810651879,0.0010839603461219038,1.1099999999999994,2.71,278.572,1629.0,8.9,-0.20000000000000018,49128.0,330320.0,0.10000000000000053,-3.839079261722418,0.15294117647058814,-0.0020018016214593537
2003-03-01,-1.372464810651879,-0.0029494714161840685,1.0600000000000005,2.66,232.2788,1726.0,8.9,-0.20000000000000018,51757.0,330437.0,0.0,0.6360481759360539,0.0992063492063493,-0.008324140006017444
2003-04-01,-0.2591677922873858,-0.006343541710131961,1.1099999999999994,2.81,215.6376,1643.0,3.4,-0.11999999999999966,49199.0,321380.0,0.09999999999999964,3.0511928740001864,0.10469314079422376,-0.017091423948220053
2003-05-01,-0.00978873302113499,-0.00023869697970957393,1.1600000000000001,2.48,235.2415,1751.0,3.4,-0.11999999999999966,50849.0,324549.0,0.09999999999999964,3.2566141401018456,-0.007002801120448154,-0.04012758514250425
2003-06-01,-0.00978873302113499,0.0013286216269092765,1.2200000000000006,2.39,233.2028,1867.0,3.4,-0.11999999999999966,49941.0,328625.0,0.20000000000000018,3.6901846386137436,-0.0009402914903620108,0.015435738021224221
2003-07-01,2.4868935752707033,0.0052047744836898335,1.13,3.06,233.1563,1897.0,0.0,-0.010000000000000231,49408.0,329530.0,-0.09999999999999964,0.4209785461425781,0.02635294117647069,0.02280164678560115
2003-08-01,-1.3415534202580275,-0.002374222228079037,1.13,3.48,242.459,1833.0,0.0,-0.010000000000000231,50447.0,330322.0,-0.10000000000000053,-0.13885988507952618,0.038514442916093516,0.012488388894622782
2003-09-01,-1.3415534202580275,0.006605742515840118,1.0700000000000003,3.31,232.6344,1939.0,0.0,-0.010000000000000231,51971.0,336048.0,0.0,2.1868718465169366,0.32141280353200874,-0.05351681957186549
2003-10-01,-0.6082159887989159,0.0012488340024034983,1.0300000000000002,3.35,238.4895,1967.0,-17.9,-0.25,51088.0,342054.0,-0.09999999999999964,1.4699690287651208,0.5218843969261611,-0.0012924071082389688
2003-11-01,-0.6082159887989159,0.006736602974022343,1.0099999999999998,3.35,245.8032,2083.0,-17.9,-0.25,52318.0,339229.0,-0.20000000000000018,0.8223147010366745,-0.030296377607025193,-0.026959991372802805
2003-12-01,0.18405531853536067,0.0008342708483635164,0.9799999999999995,3.36,260.5434,2057.0,-17.9,-0.25,53325.0,340507.0,-0.09999999999999964,2.2956566514010603,0.07878650667874121,-0.03668402970187301
2004-01-01,0.18405531853536067,0.0016638989216632982,0.9000000000000004,3.25,260.088,1911.0,-22.8,-0.16999999999999993,50190.0,339193.0,0.0,3.714957844127312,0.16495278069254993,0.003221352968246771
2004-02-01,0.18405531853536067,0.006081810085199368,0.7699999999999996,3.14,278.6556,1846.0,-22.8,-0.16999999999999993,51210.0,341261.0,-0.10000000000000053,0.8131930702611072,-0.05188254368582235,0.0012614678899083298
2004-03-01,-0.5124017074465511,-0.003965850872390431,0.7800000000000002,2.88,282.1227,1998.0,-22.8,-0.16999999999999993,54995.0,354358.0,0.20000000000000018,-1.2354966432060763,-0.0837925137754133,0.0034360325277744685
2004-04-01,-0.4692183787106284,0.0040615550755940255,0.7299999999999995,3.39,289.5122,2003.0,-20.0,-0.050000000000000044,52065.0,349488.0,-0.20000000000000018,0.7584441601613037,-0.17917876399834098,0.032758817486588265
2004-05-01,-0.4692183787106284,0.007190019800787484,0.71,3.68,301.4126,1981.0,-20.0,-0.050000000000000044,52405.0,351373.0,0.0,-2.0297090076264936,-0.1697827185447196,-0.01746242263483644
2004-06-01,-1.51041855670068,-0.007627775653908486,0.7700000000000005,3.44,286.3553,1828.0,-20.0,-0.050000000000000044,53213.0,354635.0,0.0,2.2287537347702795,-0.08551430310407793,-0.0011248593925760053
2004-07-01,2.982389212741847,0.0073237684587266205,0.7999999999999998,3.14,307.4776,2002.0,-21.1,-0.050000000000000044,53699.0,356710.0,-0.09999999999999964,-1.812286376953125,0.3470881863560733,0.01306306306306304
2004-08-01,2.982389212741847,0.0009069456655155239,0.8099999999999996,2.78,295.5954,2024.0,-21.1,-0.050000000000000044,51950.0,355629.0,-0.09999999999999964,-1.0663056146530892,0.03409090909090917,-0.011338372610048886
