yyyyq,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx,D3,E3
19044,8.25,0.310,0.490,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008460,NaN,NaN,NaN,0.0054237386,NaN,NaN,NaN,NaN,NaN,NaN
19051,9.05,0.315,0.535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008394,NaN,NaN,NaN,0.0024355237,NaN,NaN,NaN,NaN,NaN,NaN
19052,8.60,0.320,0.580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007619,NaN,NaN,NaN,0.0070278792,NaN,NaN,NaN,NaN,NaN,NaN
19053,9.23,0.325,0.625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007220,NaN,NaN,NaN,0.0033689371,NaN,NaN,NaN,NaN,NaN,NaN
19054,9.54,0.330,0.670,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009368,NaN,NaN,NaN,0.0028046654,NaN,NaN,NaN,NaN,NaN,NaN
19061,9.56,0.348,0.693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011781,NaN,NaN,NaN,0.0038326913,NaN,NaN,NaN,NaN,NaN,NaN
19062,9.30,0.365,0.715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010608,NaN,NaN,NaN,0.0061656906,NaN,NaN,NaN,NaN,NaN,NaN
19063,10.03,0.383,0.738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010541,NaN,NaN,NaN,0.0035979087,NaN,NaN,NaN,NaN,NaN,NaN
19064,9.84,0.400,0.760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013441,NaN,NaN,NaN,0.0034956332,NaN,NaN,NaN,NaN,NaN,NaN
19071,8.35,0.410,0.735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012755,NaN,NaN,NaN,0.0212022826,NaN,NaN,NaN,NaN,NaN,NaN
19072,7.84,0.420,0.710,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012600,NaN,NaN,NaN,0.0056702341,NaN,NaN,NaN,NaN,NaN,NaN
19073,7.45,0.430,0.685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010962,NaN,NaN,NaN,0.0074072938,NaN,NaN,NaN,NaN,NaN,NaN
19074,6.57,0.440,0.660,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013995,NaN,NaN,NaN,0.0136992468,NaN,NaN,NaN,NaN,NaN,NaN
19081,6.87,0.430,0.640,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.016253,NaN,NaN,NaN,0.0065040238,NaN,NaN,NaN,NaN,NaN,NaN
19082,7.64,0.420,0.620,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011493,NaN,NaN,NaN,0.0048911501,NaN,NaN,NaN,NaN,NaN,NaN
19083,8.17,0.410,0.600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006977,NaN,NaN,NaN,0.0050539193,NaN,NaN,NaN,NaN,NaN,NaN
19084,9.03,0.400,0.580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007619,NaN,NaN,NaN,0.0036030161,NaN,NaN,NaN,NaN,NaN,NaN
