,0
1967-12,0.0010366101806889706
1968-01,0.0008941743473384919
1968-02,0.0009010372270692691
1968-03,0.0009187047827988399
1968-04,0.0009223485148480209
1968-05,0.0009037414802193638
1968-06,0.0009708819886962341
1968-07,0.0009699316743644101
1968-08,0.000953955210042763
1968-09,0.0009658909337997637
1968-10,0.0009272060648142979
1968-11,0.0009434222018608312
1968-12,0.0009285249315812375
1969-01,0.000958444404493922
1969-02,0.001001488929293727
1969-03,0.0009959143999004483
1969-04,0.0010531742206649816
1969-05,0.0010703032751033566
1969-06,0.0010763337479897236
1969-07,0.0010766195406338589
1969-08,0.0011465394180990782
1969-09,0.001222062519642791
1969-10,0.001243810962711955
1969-11,0.001246318690744889
1969-12,0.0012825961832168544
1970-01,0.0013125663105436067
1970-02,0.0013221676537191265
