yyyy,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,eqis,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
1928,24.35,0.850,1.380,0.2596666667,0.0426,0.0461,0.0560,0.0340,NaN,0.06306873833,0.037847,-0.0115606936,0.4974292871,0.0008272461,0.0284115621,0.0197993253,NaN,NaN,0.3884404084,0.3331306786
1929,21.45,0.970,1.610,0.3384578236,0.0303,0.0467,0.0595,0.0340,NaN,0.16352217212,0.046385,0.0058479532,0.7205929402,0.0340994674,0.0327300407,0.1246140116,NaN,NaN,-0.0883469776,-0.1213454145
1930,15.34,0.980,0.970,0.5547454126,0.0148,0.0452,0.0671,0.0330,NaN,0.11388589112,0.024314,-0.0639534884,0.3078474884,0.0464291951,0.0797505246,0.0666489193,NaN,NaN,-0.2630285180,-0.2958605550
1931,8.12,0.820,0.610,1.1707317073,0.0241,0.0532,0.1042,0.0407,NaN,-0.01292100133,0.009682,-0.0931677019,0.1446646984,-0.0531573493,-0.0185098199,0.1594027400,NaN,NaN,-0.4552532134,-0.4892035336
1932,6.89,0.500,0.410,1.4420843014,0.0004,0.0459,0.0842,0.0315,NaN,-0.00503247990,0.012620,-0.1027397260,0.0372670807,0.1684521131,0.1082022408,0.3074516565,NaN,NaN,-0.0889073790,-0.1483693950
1933,10.10,0.440,0.440,0.8290260464,0.0029,0.0450,0.0775,0.0336,NaN,0.00619582811,0.003726,0.0076335878,0.4010554090,-0.0006930265,0.1037605627,0.2218169558,NaN,NaN,0.5325117225,0.4722731138
1934,9.50,0.450,0.490,0.7737408689,0.0023,0.0381,0.0623,0.0293,NaN,0.02081271567,0.002227,0.0151515152,0.0712830957,0.1001499787,0.1384344607,0.0665917604,NaN,NaN,-0.0248418791,-0.0618862196
1935,13.43,0.470,0.760,0.5599111913,0.0015,0.0344,0.0530,0.0276,NaN,0.00868883457,0.001826,0.0298507463,0.0661959400,0.0499608756,0.0961485607,0.0355068356,NaN,NaN,0.4563306798,0.3996906898
1936,17.18,0.720,1.020,0.4585881045,0.0012,0.0310,0.0453,0.0255,NaN,0.02522472157,0.001776,0.0144927536,0.1205766710,0.0749580625,0.0674428368,0.0312564367,NaN,NaN,0.3341783544,0.2794533120
1937,10.55,0.800,1.130,0.7074886223,0.0011,0.0321,0.0573,0.0273,NaN,0.03177539995,0.002928,0.0285714286,0.3123715577,0.0023264739,0.0274673148,0.0996325926,0.0028331217,NaN,-0.3599352846,-0.3942250088
1938,13.21,0.510,0.640,0.5720393884,0.0003,0.0308,0.0527,0.0252,NaN,0.00572171265,0.000800,-0.0277777778,0.0449227890,0.0551181729,0.0613265536,0.1121428296,0.0041669638,NaN,0.2930840296,0.2425372733
1939,12.49,0.620,0.900,0.5807053804,0.0004,0.0294,0.0492,0.0226,NaN,0.00255078405,0.000575,0.0000000000,0.0854898336,0.0594971434,0.0396627601,0.0664203137,0.0060740339,NaN,-0.0110424319,-0.0566951433
1940,10.58,0.670,1.050,0.7290475101,0.0002,0.0271,0.0445,0.0194,NaN,0.01258918852,0.000525,0.0071428571,0.1187115454,0.0609224311,0.0339408516,0.0480499948,0.0042619728,NaN,-0.0977918054,-0.1516996577
1941,8.69,0.710,1.160,0.8895097332,0.0033,0.0280,0.0438,0.0204,NaN,0.01034282631,0.000875,0.0992907801,0.1142093201,0.0093182080,0.0273141837,0.0224724277,0.0034469828,NaN,-0.1139721659,-0.1767679216
1942,9.77,0.590,1.030,0.8626465662,0.0038,0.0281,0.0428,0.0246,NaN,0.00181200429,0.003329,0.0903225806,0.1238003839,0.0321784290,0.0259811379,0.0180509786,0.0051009425,NaN,0.2096087744,0.1299908774
1943,11.67,0.610,0.940,0.7874015748,0.0038,0.0274,0.0382,0.0248,NaN,0.01442253924,0.003805,0.0295857988,0.1643059490,0.0208788999,0.0283259345,0.0160865304,0.0019623979,NaN,0.2666588069,0.2033127014
1944,13.28,0.640,0.930,0.7437635753,0.0038,0.0270,0.0349,0.0246,NaN,0.01906244653,0.003805,0.0229885057,0.1645244216,0.0281508917,0.0473218913,0.0083995027,0.0035223172,NaN,0.2116335073,0.1513531381
1945,17.36,0.660,0.960,0.6132393344,0.0038,0.0261,0.0310,0.0199,-0.0507977771,0.02552527829,0.003805,0.0224719101,0.2117400419,0.1073090389,0.0407567428,0.0159692444,0.0043280057,NaN,0.3666452342,0.3097471748
1946,15.30,0.710,1.060,0.6924379233,0.0038,0.0261,0.0317,0.0212,0.0541844025,0.03607606045,0.003805,0.1813186813,0.3184821017,-0.0008419237,0.0172295564,0.0463710920,0.0017810408,NaN,-0.0927965300,-0.1284281767
1947,15.30,0.840,1.610,0.7253256790,0.0095,0.0286,0.0352,0.0243,0.0715812891,0.02592159527,0.004858,0.0883720930,0.2396298660,-0.0262746615,-0.0233638347,0.0193385201,0.0047609245,0.0345053031,0.0490908888,-0.0064997859
1948,15.20,0.930,2.290,0.8409475465,0.0116,0.0279,0.0353,0.0237,0.0504049417,0.01501455412,0.010138,0.0299145299,0.1571404485,0.0338501479,0.0413587871,0.0220998101,0.0016330103,0.0348009725,0.0525817218,-0.0084050787
1949,16.76,1.140,2.320,0.7964292839,0.0110,0.0258,0.0331,0.0209,0.0461316655,0.02717558470,0.011474,-0.0207468880,0.1918691125,0.0643905297,0.0330876243,0.0123059155,0.0042520180,0.0292786243,0.1805744891,0.0977053134
1950,20.41,1.470,2.840,0.7225384419,0.0134,0.0267,0.0320,0.0224,0.0011733130,0.03135825591,0.011726,0.0593220339,0.2270227808,0.0005048300,0.0211518121,0.0214613086,0.0056625153,0.0343734798,0.3294582089,0.2302988288
1951,23.77,1.410,2.440,0.7213163466,0.0173,0.0301,0.0361,0.0269,0.0021762214,0.03615078780,0.014629,0.0600000000,0.2648236662,-0.0394216053,-0.0269030904,0.0121822396,0.0041468933,0.0325816698,0.2342505169,0.1601975517
1952,26.57,1.410,2.400,0.6940733128,0.0209,0.0297,0.0351,0.0279,-0.0002914563,0.02653471636,0.016931,0.0075471698,0.2024971147,0.0116931021,0.0352092236,0.0065900114,0.0034459187,0.0326150384,0.1894224780,0.1227970598
